prompt,top_classical,top_deep,summary_classical,summary_deep,score_classical,score_deep
"""I've been feeling this heavy weight on my chest for weeks now, and it's like I'm constantly tired no matter how much I sleep. I can't even bring myself to do the things I used to love, like cooking or playing my guitar.""","['dextroamphetamine', 'wellbutrin', 'prempro', 'klonopin', 'lithium-carbonate']","['adderall', 'nardil', 'prempro', 'pristiq', 'synthroid']","The symptoms described by the patient—persistent chest heaviness, fatigue despite adequate sleep, and a loss of interest in previously enjoyed activities—suggest a depressive disorder. Among the recommended medications, Wellbutrin (bupropion) is an antidepressant that can alleviate symptoms of depression and improve energy levels without causing significant sedation. Lithium carbonate is a mood stabilizer often used in treatment-resistant depression or bipolar disorder, which can help manage mood swings and stabilize emotions. While not primarily antidepressants, dextroamphetamine, a stimulant, may be prescribed off-label to address severe fatigue and lack of motivation, potentially improving energy levels and focus. Klonopin (clonazepam) is generally used for anxiety but can be prescribed short-term to manage acute anxiety symptoms that may accompany depression. Prempro, a hormone replacement therapy, is not typically used for depression but might be relevant if the symptoms are related to hormonal imbalances, such as those in perimenopausal women. It is important to note that the appropriateness of these medications depends on a comprehensive evaluation by a healthcare professional, considering potential side effects and individual patient factors.","The symptoms described by the patient—persistent chest heaviness, constant fatigue, and loss of interest in activities—are indicative of possible depression, for which certain antidepressants might be considered. Among the medications listed, Pristiq (desvenlafaxine) is an actual antidepressant from the serotonin-norepinephrine reuptake inhibitor (SNRI) class, which can help alleviate depressive symptoms by balancing neurotransmitters in the brain. Nardil (phenelzine) is another antidepressant, a monoamine oxidase inhibitor (MAOI), though it is generally used when other treatments have failed due to dietary restrictions and side effects. The other medications listed—Adderall, Prempro, and Synthroid—are not antidepressants. Adderall is a stimulant used for ADHD and sometimes off-label for treatment-resistant depression, Prempro is hormone replacement therapy for menopausal symptoms, and Synthroid is a thyroid hormone replacement. These latter three would not be first-line treatments for depression unless there are specific underlying conditions such as ADHD, hormonal imbalances, or hypothyroidism contributing to the symptoms.",4,5
"""Every morning, it's a struggle to get out of bed, and when I do, I just feel this emptiness inside. I find myself avoiding friends and family because I feel like a burden.""","['dextroamphetamine', 'wellbutrin', 'prempro', 'klonopin', 'lithium-carbonate']","['synthroid', 'zyprexa', 'prempro', 'adderall', 'buprenorphine']","The symptoms described by the patient suggest potential depression, characterized by feelings of emptiness, difficulty getting out of bed, and social withdrawal. Wellbutrin (bupropion) is often recommended for depression as it acts on norepinephrine and dopamine, potentially improving motivation and energy. Lithium carbonate is a mood stabilizer commonly used for bipolar disorder but can also augment antidepressants in treatment-resistant depression. Klonopin (clonazepam) is a benzodiazepine that is not typically used to treat depression but may help with associated anxiety, although it is not a first-line treatment due to potential dependency. Dextroamphetamine is generally used for ADHD and narcolepsy and is not standard for depression, though it might help with concentration and energy in specific cases. Prempro is a hormone replacement therapy and not typically used for depression, but hormonal imbalances can contribute to mood disorders, so it might be relevant if there are underlying hormonal issues. It is essential to consult with a healthcare professional for an accurate diagnosis and appropriate treatment plan.","The symptoms described by the patient—difficulty getting out of bed, feelings of emptiness, and social withdrawal—are indicative of depression. However, the listed medications are not primarily used to treat depression. Synthroid is used for hypothyroidism, which can cause depressive symptoms if thyroid levels are low. Zyprexa is an antipsychotic that can be used to treat bipolar disorder or as an adjunct in treatment-resistant depression. Prempro is a hormone replacement therapy for menopausal symptoms, not depression. Adderall is a stimulant used for ADHD, which is not typically prescribed for depression unless there is a co-existing attention disorder. Buprenorphine is used for opioid addiction and pain management, not depression. Among these, Zyprexa might be considered if the depression is treatment-resistant or if there are psychotic features, but it is not a first-line treatment for depression. For the described symptoms, more typical antidepressants like SSRIs or SNRIs would be appropriate first-line treatments.",4,4
"""Lately, it's been hard to focus at work, and I've lost interest in my projects. I feel irritable all the time, snapping at loved ones over small things, which only makes me feel guilty and ashamed.""","['prempro', 'dextroamphetamine', 'wellbutrin', 'klonopin', 'lithium-carbonate']","['adderall', 'buprenorphine', 'celexa', 'citalopram', 'cymbalta']","The symptoms described by the patient suggest a possible case of depression, possibly accompanied by anxiety or ADHD symptoms, which can manifest as difficulty focusing, irritability, and loss of interest in activities. Wellbutrin (bupropion) is an antidepressant that is often prescribed for its energizing effects and is known to improve focus and motivation, making it potentially suitable for this patient. Dextroamphetamine, a stimulant, is typically used for ADHD, which may help with concentration issues if ADHD is a contributing factor. Klonopin (clonazepam) is an anti-anxiety medication that could help manage irritability and anxiety-related symptoms, though it is generally not a first-line treatment for depression. Lithium carbonate is a mood stabilizer commonly used in bipolar disorder, but it can also augment antidepressants in treatment-resistant depression, potentially addressing mood swings and irritability. However, Prempro, a hormone replacement therapy, is not typically used for depression or related symptoms and may not be relevant in this context unless the patient is experiencing hormonal imbalances that contribute to mood symptoms. It is important for the patient to consult with a healthcare provider for an accurate diagnosis and appropriate treatment plan tailored to their specific needs.","The symptoms described by the patient—difficulty focusing, loss of interest in activities, irritability, and feelings of guilt and shame—are commonly associated with depression and could also relate to attention-deficit disorders. Among the medications listed, Celexa (citalopram) and Cymbalta (duloxetine) are antidepressants that could help alleviate these symptoms by balancing neurotransmitters in the brain, potentially improving mood, focus, and interest in activities. Celexa is a selective serotonin reuptake inhibitor (SSRI), while Cymbalta is a serotonin-norepinephrine reuptake inhibitor (SNRI), both of which are commonly prescribed for depression. Adderall, primarily used for ADHD, might help with focus issues; however, it is not typically used for depression unless attention deficit is a significant component. Buprenorphine is an opioid medication and not typically used for treating depression or attention issues, so its inclusion might be inappropriate unless there is a specific context such as treatment-resistant depression in combination with other conditions. It's crucial for a healthcare provider to thoroughly assess the patient to determine the most appropriate medication and treatment plan.",4,4
"""I often find myself lying on the couch for hours, unable to muster the energy to move. My appetite is all over the place—some days I eat everything in sight, and other days, I can't stand the thought of food.""","['prempro', 'dextroamphetamine', 'klonopin', 'wellbutrin', 'lithium-carbonate']","['adderall', 'buprenorphine', 'celexa', 'citalopram', 'cymbalta']","The symptoms described by the patient—prolonged periods of low energy and fluctuating appetite—are indicative of possible depression or a mood disorder. Wellbutrin (bupropion) is an antidepressant that can be particularly effective for individuals experiencing low energy and motivation, as it often has a stimulating effect. Klonopin (clonazepam) is typically used for anxiety or panic disorders, which can accompany depression, although it is not a first-line treatment for depression itself. Lithium carbonate is a mood stabilizer commonly used for bipolar disorder, which might be considered if mood fluctuations are suspected. Dextroamphetamine, a stimulant, is not a typical antidepressant but may be prescribed off-label for treatment-resistant depression due to its energizing effects. Prempro, a hormone replacement therapy, is not an antidepressant and would not typically be recommended for depression unless there is a specific hormonal imbalance contributing to the symptoms. It's important to note that medication should be tailored to the individual's specific diagnosis and needs, ideally under the guidance of a healthcare professional.","The symptoms described by the patient—prolonged periods of low energy and fluctuating appetite—are common indicators of depression. Citalopram (Celexa) and Cymbalta are both antidepressants that can help alleviate these symptoms by balancing neurotransmitters in the brain, which may improve mood and energy levels. Citalopram is a selective serotonin reuptake inhibitor (SSRI), while Cymbalta is a serotonin-norepinephrine reuptake inhibitor (SNRI), both of which are commonly prescribed for depression. While Adderall is primarily used to treat ADHD, it can sometimes be prescribed off-label for treatment-resistant depression due to its stimulating effects, which may help with energy levels. However, Buprenorphine is typically used for pain management and opioid dependence, and it is not a standard treatment for depression, making it an unusual choice in this context. Therefore, the most appropriate medications for the described symptoms are likely to be Celexa, Citalopram, and Cymbalta, with careful consideration by a healthcare provider.",4,4
"""I've been having trouble sleeping, waking up in the middle of the night with racing thoughts. Throughout the day, I feel so restless, but at the same time, I just want to hide under my covers and avoid the world.""","['prempro', 'dextroamphetamine', 'klonopin', 'wellbutrin', 'lithium-carbonate']","['prempro', 'adderall', 'buprenorphine', 'celexa', 'citalopram']","The symptoms described by the patient—trouble sleeping, racing thoughts, restlessness, and a desire to withdraw—could be indicative of depression, anxiety, or a mood disorder. Wellbutrin (bupropion) is often used as an antidepressant that can help with energy and motivation without causing sedation, making it suitable for someone experiencing restlessness and withdrawal. Klonopin (clonazepam) is a benzodiazepine that can help manage anxiety and improve sleep, addressing the racing thoughts and insomnia. Lithium carbonate is primarily used for mood stabilization in bipolar disorder, which could be relevant if the symptoms are part of a broader mood disorder. The inclusion of Prempro and dextroamphetamine seems less directly related; Prempro is a hormone replacement therapy used in menopausal symptoms, and dextroamphetamine is a stimulant used for ADHD and narcolepsy, which might be considered if there is an underlying attention disorder or severe fatigue component. However, it’s crucial to consider a comprehensive evaluation by a healthcare provider to tailor treatment to the specific diagnosis and individual needs.","The symptoms described by the patient suggest a combination of anxiety, insomnia, and possibly depression. Among the medications listed, Celexa (citalopram) is an SSRI (selective serotonin reuptake inhibitor) commonly prescribed for depression and anxiety, which could help alleviate the patient's mood disturbances and racing thoughts. Citalopram, being another name for Celexa, is similarly effective. However, the other medications listed are not typically recommended for these symptoms: Prempro is a hormone replacement therapy, Adderall is a stimulant used for ADHD, and Buprenorphine is used for pain management or opioid addiction treatment. Therefore, Celexa or citalopram would be the most appropriate choices from the list provided for addressing the patient's symptoms.",4,4
"""It's like there's this constant fog in my head, making it hard to concentrate or remember things. I feel so overwhelmed by even the simplest tasks, like doing the laundry or replying to an email.""","['dextroamphetamine', 'wellbutrin', 'prempro', 'klonopin', 'lithium-carbonate']","['prempro', 'synthroid', 'adderall', 'buprenorphine', 'celexa']","The symptoms described by the patient—cognitive fog, difficulty concentrating, and feeling overwhelmed by simple tasks—are often associated with depression and anxiety, but they can also be indicative of other conditions like ADHD or chronic fatigue syndrome. Wellbutrin (bupropion) is an antidepressant that can help with these symptoms by enhancing focus and energy levels, as it affects norepinephrine and dopamine. Dextroamphetamine is a stimulant commonly used for ADHD, which can improve concentration and reduce mental fog. Klonopin (clonazepam) is a benzodiazepine that might be prescribed for anxiety, which can also contribute to cognitive difficulties. Lithium carbonate is a mood stabilizer often used in bipolar disorder, which can help alleviate mood swings and improve cognitive function. Prempro, however, is a hormone replacement therapy and is not typically used for cognitive symptoms unless these are related to hormonal imbalances, such as those experienced during menopause. Each of these medications addresses different potential underlying causes of the symptoms and would be chosen based on a thorough evaluation of the patient's specific condition.","The symptoms described by the patient, such as difficulty concentrating, feeling overwhelmed, and experiencing a ""foggy"" head, could be indicative of several underlying conditions, including depression, anxiety, attention deficit disorders, or even thyroid dysfunction. Among the listed medications, Celexa (citalopram) is a selective serotonin reuptake inhibitor (SSRI) commonly used to treat depression and anxiety, which could directly address the patient's symptoms if they are related to these conditions. Synthroid (levothyroxine) is used for hypothyroidism, which can also cause cognitive difficulties and fatigue, so it might be appropriate if the symptoms are due to an underactive thyroid. Adderall (amphetamine and dextroamphetamine) is used for attention deficit hyperactivity disorder (ADHD) and could help with concentration and focus issues, although it is typically prescribed when ADHD is diagnosed. Buprenorphine is primarily used for opioid dependency or pain management and is not typically used for cognitive or mood symptoms unless these are secondary to chronic pain or substance use disorders. Prempro, which is a hormone replacement therapy, would not generally be appropriate unless there is an indication of hormonal imbalance such as menopause, which is not suggested by the symptoms described. It is crucial for a healthcare professional to accurately diagnose the underlying cause before prescribing any of these medications.",4,4
"""I feel so disconnected from everyone around me, like I'm just going through the motions. I used to be so passionate about painting, but now, I can't find the motivation or joy in it.""","['dextroamphetamine', 'wellbutrin', 'prempro', 'klonopin', 'lithium-carbonate']","['prempro', 'pristiq', 'synthroid', 'adderall', 'buprenorphine']","The symptoms described by the patient, such as feeling disconnected and losing interest in previously enjoyed activities like painting, suggest they may be experiencing depression or a related mood disorder. Among the listed medications, Wellbutrin (bupropion) is a well-known antidepressant that can help alleviate symptoms of depression by affecting neurotransmitters in the brain, potentially improving motivation and energy levels. Lithium carbonate is primarily used for mood stabilization, especially in bipolar disorder, and might help if mood swings are contributing to the patient's feelings of disconnection. Klonopin (clonazepam) is typically prescribed for anxiety, which might be an underlying issue affecting the patient's emotional state, though it's not a primary treatment for depression. Dextroamphetamine is a stimulant that can increase energy and focus, sometimes used off-label for treatment-resistant depression, but it is not a first-line treatment for depression symptoms. Prempro, a hormone replacement therapy, is not typically used for depression but might be considered if hormonal imbalances are suspected to contribute to mood changes, such as in perimenopausal women. Overall, the appropriateness of these medications would depend on a thorough evaluation by a healthcare provider to determine the underlying causes of the patient's symptoms.","The symptoms described by the patient—feeling disconnected, going through the motions, and losing motivation and joy in activities they once loved—are indicative of depression, specifically aspects of anhedonia and emotional disconnection. Of the listed medications, Pristiq (desvenlafaxine) is the most directly relevant as it is an antidepressant, specifically a serotonin-norepinephrine reuptake inhibitor (SNRI), which can help alleviate depressive symptoms by balancing neurotransmitters in the brain. The other medications—Prempro, Synthroid, Adderall, and Buprenorphine—are not typically used for treating depression. Prempro is a hormone replacement therapy for menopausal symptoms, Synthroid is used for hypothyroidism, Adderall is a stimulant for ADHD, and Buprenorphine is for pain management or opioid addiction. Therefore, among the listed options, Pristiq is the most appropriate choice for treating the symptoms of depression described by the patient.",4,4
"""There's this persistent sadness that I can't shake off, and I've noticed I've been crying a lot more often, sometimes over nothing at all. I feel like I'm just not good enough.""","['prempro', 'dextroamphetamine', 'klonopin', 'wellbutrin', 'lithium-carbonate']","['abilify', 'adderall', 'buprenorphine', 'celexa', 'citalopram']","The symptoms described by the patient suggest a possible depressive disorder, and several of the listed medications can be appropriate for managing such conditions. Wellbutrin (bupropion) is an antidepressant that works by affecting neurotransmitters in the brain and is often used to treat major depressive disorder, particularly when patients experience fatigue or lack of motivation. Lithium carbonate is primarily used as a mood stabilizer for bipolar disorder but can also augment antidepressant therapy in unipolar depression. Klonopin (clonazepam) is primarily an anti-anxiety medication but can provide short-term relief for anxiety symptoms that often accompany depression. However, Prempro, which is a hormone replacement therapy, and dextroamphetamine, a stimulant typically used for ADHD, are not standard treatments for depression and might not be appropriate unless there are specific underlying conditions such as menopause-related mood changes or treatment-resistant depression with attention deficit symptoms. It is essential for a healthcare provider to thoroughly evaluate the patient's specific symptoms and medical history before prescribing any medication.","Based on the symptoms described, which suggest a depressive disorder characterized by persistent sadness, emotional lability, and feelings of inadequacy, some of the medications listed could be suitable options. Celexa (citalopram) and citalopram are both selective serotonin reuptake inhibitors (SSRIs), commonly prescribed for depression, as they help increase serotonin levels in the brain, potentially improving mood and emotional stability. Abilify (aripiprazole) is an atypical antipsychotic that can be used as an adjunct therapy to enhance the effects of antidepressants in treatment-resistant depression. However, Adderall (a stimulant used for ADHD) and buprenorphine (primarily used for pain management and opioid use disorder) are not typically prescribed for depressive symptoms and may not be appropriate in this context. It is crucial for a healthcare professional to evaluate the patient's overall condition and medical history to determine the most suitable treatment plan.",4,4
"""I feel like a shell of my former self, like I'm watching life happen from a distance. I find myself withdrawing from social activities because I don't have the energy to engage.""","['prempro', 'dextroamphetamine', 'wellbutrin', 'klonopin', 'lithium-carbonate']","['prempro', 'pristiq', 'synthroid', 'zyprexa', 'adderall']","The symptoms described by the patient, such as feeling detached from life, lacking energy, and withdrawing from social activities, are indicative of depression or possibly a related mood disorder. Wellbutrin (bupropion) is an antidepressant that is often prescribed because it can help alleviate depressive symptoms and improve energy levels without the sedative effects common in other antidepressants. Lithium carbonate is a mood stabilizer that is effective in treating mood disorders, particularly bipolar disorder, and can help regulate mood swings. Klonopin (clonazepam) is primarily an anti-anxiety medication, but it can be useful in addressing anxiety symptoms that often accompany depression, although it is typically not a first-line treatment for depression itself. Dextroamphetamine, a stimulant, might be considered if there is a significant component of fatigue or lack of motivation, but it is not a typical antidepressant and would be used cautiously. Prempro, a hormone replacement therapy, is not an antidepressant and is generally not appropriate for treating depression unless the symptoms are specifically related to hormonal changes, such as those experienced during menopause. Therefore, the selection of these medications should be carefully considered by a healthcare professional based on the patient's specific symptoms and medical history.","The symptoms described by the patient suggest a potential case of depression, characterized by feelings of detachment, low energy, and social withdrawal. Among the listed medications, Pristiq (desvenlafaxine) is an antidepressant specifically used to treat major depressive disorder by balancing neurotransmitters in the brain, which can help improve mood and energy levels. Zyprexa (olanzapine) is an antipsychotic that can be used to treat mood disorders and may help with severe depression, particularly when other treatments haven't been effective. However, Prempro, Synthroid, and Adderall are not typically prescribed for depression: Prempro is a hormone replacement therapy, Synthroid is used for thyroid hormone replacement, and Adderall is a stimulant for ADHD. If the patient’s symptoms were linked to hormonal imbalances or hypothyroidism, Prempro or Synthroid might be considered, respectively. Adderall could potentially be used if there is a coexisting condition like ADHD, contributing to the symptoms. It's crucial for a healthcare provider to evaluate the patient's overall health and specific needs before prescribing any medication.",4,4
"""My body feels so heavy, and it's hard to get out of bed. I've been neglecting my responsibilities because everything feels so pointless.""","['prempro', 'dextroamphetamine', 'wellbutrin', 'klonopin', 'lithium-carbonate']","['buprenorphine', 'celexa', 'citalopram', 'cymbalta', 'desyrel']","The symptoms described by the patient—feelings of heaviness, difficulty getting out of bed, neglect of responsibilities, and a sense of pointlessness—are indicative of depression, potentially with an element of fatigue or anhedonia. Wellbutrin (bupropion) is often recommended in such cases as it is an atypical antidepressant that can help improve energy levels and motivation by affecting norepinephrine and dopamine pathways. Lithium carbonate is a mood stabilizer that can be effective in managing depressive symptoms in bipolar disorder or treatment-resistant depression. Dextroamphetamine, a stimulant, might be considered if there is significant fatigue or lack of motivation, although it is not a first-line treatment for depression. Klonopin (clonazepam) is primarily an anxiolytic but might be used short-term to alleviate anxiety that accompanies depression, though caution is needed due to its potential for dependency. Prempro, a hormone replacement therapy, is not typically used for depression unless hormonal imbalances such as those seen in menopause are contributing to the depressive symptoms. It's important to note that the choice of medication should be individualized based on the patient's specific symptoms, history, and overall health profile, and these medications should be prescribed and monitored by a healthcare professional.","The symptoms described by the patient—feeling of heaviness, difficulty getting out of bed, neglecting responsibilities, and a sense of pointlessness—are indicative of depression. The recommended antidepressants can be appropriate choices for managing these symptoms due to their different mechanisms of action that target neurotransmitter imbalances commonly associated with depression. Citalopram (Celexa) is a selective serotonin reuptake inhibitor (SSRI) that helps increase serotonin levels in the brain, which can improve mood and energy levels. Desyrel (trazodone) is often used not only for its antidepressant effects but also for its ability to improve sleep, which can be beneficial for patients experiencing fatigue. Cymbalta (duloxetine) is a serotonin-norepinephrine reuptake inhibitor (SNRI) that can help alleviate both emotional and physical symptoms of depression. Buprenorphine, while primarily used for opioid addiction and pain management, has shown promise in treatment-resistant depression due to its action on opioid receptors, which can modulate mood. Each of these medications offers a different approach to addressing the chemical imbalances that contribute to depressive symptoms, providing options for personalized treatment based on the patient's specific needs and responses.",4,4
